sample_id	cohort	n_clones	shannon	simpson	clonality	d50	top10_frac	hill_q0	hill_q1	hill_q2	gini	vdjdb_hits
SRR8526721	GSE126044	85	4.041	0.97	0.09	16	0.409	85	56.904	32.961	0.394	4
SRR8526722	GSE126044	21	2.771	0.918	0.09	4	0.686	21	15.981	12.129	0.332	1
SRR8526726	GSE126044	17	2.563	0.9	0.095	4	0.794	17	12.973	9.966	0.374	1
SRR8526727	GSE126044	13	2.308	0.87	0.1	3	0.885	13	10.051	7.682	0.361	0
SRR8526723	GSE126044	8	2.025	0.86	0.026	3	1	8	7.579	7.143	0.15	0
SRR8526725	GSE126044	3	1.055	0.64	0.04	2	1	3	2.872	2.778	0.133	0
SRR9879275	GSE135222	113	4.21	0.972	0.11	18	0.404	113	67.336	35.13	0.455	4
SRR9879269	GSE135222	92	4.072	0.97	0.1	16	0.413	92	58.658	33.415	0.43	4
SRR9879273	GSE135222	22	3.02	0.947	0.023	9	0.556	22	20.486	18.692	0.157	2
SRR9879280	GSE135222	12	2.135	0.836	0.141	3	0.939	12	8.459	6.084	0.432	1
SRR9879268	GSE135222	4	1.242	0.667	0.104	1	1	4	3.464	3	0.25	0
SRR11094249	GSE145370	526	3.183	0.792	0.492	2	0.716	526	24.118	4.806	0.86	20
